,source_id,g_abs,bp_rp,parallax,dist
598,3615365966395574656,11.161497759369281,2.7930183,11.091076295239198,90.16257515325597
1020,6244081939503704704,11.062292012195414,2.6683016,13.460385106422684,74.29207946827951
2203,4126161238611482880,16.18788155317003,1.547369,15.724550269486974,63.594823563283114
6432,4111630711451742080,16.271258211051027,1.7514668,-18.323219947474897,54.57556056558765
7866,4116715540366566656,15.653412907114015,2.0108032,-10.913203408899552,91.63212326680498
8028,4116716261979672320,15.434698509492712,1.7748775,10.66550114924037,93.76024492493943
8325,4116716433720175616,17.06046558803012,2.2710896,23.020162043781045,43.44018074669255
8391,4116716536799566592,15.515778599162532,2.2498417,-10.637174844152616,94.00992412470423
8440,4116716571146729216,14.597029111628418,2.5012703,11.76456273533747,85.00103424977101
8477,4116716571156771200,15.23898129789915,2.263195,-10.62153156258764,94.1483809662924
8486,4116716571159340288,15.716207985450541,2.4657822,11.420521830157895,87.56167317673035
8642,4116721415879693952,14.891710987164238,2.279375,-11.334279277049298,88.22793011858222
8645,4116721415879700096,14.786099002450147,2.1192532,10.147102295973692,98.55030242444623
8697,4116721450228447872,14.909765556449782,2.5968418,11.289753640079216,88.5758920770377
8792,4116722171796215552,15.755550918367234,2.7036057,-11.105595985683944,90.04469470067927
8840,4116722206143317248,15.326339238148181,2.3623981,-13.990348465164429,71.47784792422945
10833,4069410938069724416,15.656406011621566,3.0371761,-11.177304829948763,89.46700615344889
17871,4089884123756346112,15.501636178605303,1.4807949,-14.186997710889827,70.4870769967354
17888,4089884123756436480,15.517670300701605,1.4897156,18.037823387411144,55.43906149441037
18262,4089895840475718784,14.981539960999491,1.5019855,15.60379710025749,64.08696508771563
23076,4078245995041094656,14.629128682719276,1.3970566,-10.069425466512337,99.3105319986406
30192,6743443901377099008,14.652878638323111,3.2113361,15.827652893708434,63.18056168628165
37132,6641271959453757312,14.79444495032814,1.1967125,12.946707314209991,77.23971630241647
38244,6447860717304597888,10.00491950719594,2.5952158,10.120518565046664,98.80916610871205
38620,6447903460818819328,14.593569371353121,3.8631191,12.99306651562301,76.96412535082374
39729,6444539367554643328,7.96874775253837,1.9289455,10.54629296158604,94.8200475411041
